Status,NHL Club Name,Requested change,Current Player Listed on Roster,New Player to be Listed (Full Name),Number,Position,Height,Weight,Birthplace (FLAG),Shoots/Catches (Left/Right),Birthday (YYYY-MM-DD),GP,Goals (G),Assists (A),Points (P),New Headshot link?,Notes
,Vegas Golden Knights,Roster list change,Marc-Andre Fleury,Max Pacioretty,67,Left Wing,"6'2""",215,"New Canaan, CT, USA",Left,1988-11-20,811,304,301,605,https://drive.google.com/file/d/1cSbl9_C8tzlU85-Kx549HRdznZdCBF6A/view?usp=sharing ,
,Washington Capitals ,Incorrect statistic,Nicklas Backstrom,,,,,,,,,1011,258,722,980,N/A,
,Washington Capitals ,Incorrect statistic,John Carlson ,,,,,,,,,809,115,407,522,N/A,
,Washington Capitals ,Incorrect statistic,Michael Kempy,,,,,,,,,232,14,47,61,N/A,
,Washington Capitals ,Incorrect statistic,TJ Oshie,,,,,,,,,856,260,350,610,N/A,
,Washington Capitals ,Incorrect statistic,Alex Ovechkin,,,,,,,,,1197,730,590,1320,N/A,
,Washington Capitals ,Incorrect statistic,Tom,,,,,,,,,569,91,130,221,N/A,
,Winnipeg Jets,Incorrect statistic,Connor Hellebuyck,,,,,,,,,315,N/A,N/A,N/A,N/A,
,Winnipeg Jets,Roster list change,Patrik Laine,Nikolaj Ehlers,27,Left Wing,"6'0""",172 Ib,"Aalborg, DNK",Left,1996-02-14,416,136,167,303,https://drive.google.com/file/d/1co5XW29LEfUjLEbvO7o8NPjmpydNLeyY/view?usp=sharing ,
,Winnipeg Jets,Incorrect statistic,Adam Lowry,,17,Centerman,"6'5""",210 Ib,"St. Louis, MO USA",Left,1993-03-29,460,67,80,147,N/A,
,Winnipeg Jets,Incorrect statistic,Josh Morrissey,,44,Defencemen,"6'0""",195 Ib,"Calgary, AB, CAN",Left,1995-03-28,344,28,101,129,N/A,
,Winnipeg Jets,Incorrect statistic,Mark Scheifele,,55,Centerman,"6'3""",207 Ib,"Kitchener, ON, CAN",Right,1993-03-15,575,201,306,507,N/A,
,Winnipeg Jets,Incorrect statistic,Blake Wheeler,,,,,,,,,981,279,528,807,N/A,
